 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
12257,C1-A1-1.tif:12257-04141,340.725,3000.563,2651,3336,0,65535
12258,C1-A1-1.tif:12258-04135,298.290,7623.616,3012,39820,0,65535
12259,C1-A1-1.tif:12259-04128,86.949,3373.282,2988,4277,0,65535
12260,C1-A1-1.tif:12260-04127,172.651,3419.289,3055,3929,0,65535
12261,C1-A1-1.tif:12261-04128,95.270,2998.546,2697,3267,0,65535
12262,C1-A1-1.tif:12262-04125,42.435,1856.333,1661,1997,0,65535
12263,C1-A1-1.tif:12263-04128,86.533,2065.351,1622,5380,0,65535
12264,C1-A1-1.tif:12264-04126,45.347,1838.046,1678,1969,0,65535
12265,C1-A1-1.tif:12265-04127,53.667,2656.868,2431,2927,0,65535
12266,C1-A1-1.tif:12266-04134,156.009,4050.125,2646,9265,0,65535
12267,C1-A1-1.tif:12267-04131,147.273,2161.475,1846,2808,0,65535
12268,C1-A1-1.tif:12268-04140,388.984,2882.494,2461,3500,0,65535
12269,C1-A1-1.tif:12269-04129,49.923,2879.908,2630,3105,0,65535
12270,C1-A1-1.tif:12270-04128,50.339,3093.810,2838,3716,0,65535
12271,C1-A1-1.tif:12271-04146,635.687,6737.376,2781,65535,0,65535
12272,C1-A1-1.tif:12272-04128,99.846,2171.713,1951,2402,0,65535
12273,C1-A1-1.tif:12273-04127,43.267,2615.308,2240,3101,0,65535
12274,C1-A1-1.tif:12274-04132,74.469,3408.587,3019,3757,0,65535
12275,C1-A1-1.tif:12275-04134,79.045,21852.874,2865,65535,0,65535
12276,C1-A1-1.tif:12276-04130,81.541,3459.760,2885,4834,0,65535
12277,C1-A1-1.tif:12277-04144,438.075,8279.563,3117,28570,0,65535
12278,C1-A1-1.tif:12278-04162,1639.140,7132.294,2927,65535,0,65535
12279,C1-A1-1.tif:12279-04137,262.928,3143.968,2852,3688,0,65535
12280,C1-A1-1.tif:12280-04133,170.154,2839.308,2468,3094,0,65535
12281,C1-A1-1.tif:12281-04131,70.724,1783.106,1572,1924,0,65535
12282,C1-A1-1.tif:12282-04128,40.354,2615.144,2381,2957,0,65535
12283,C1-A1-1.tif:12283-04130,66.980,2619.820,2231,2940,0,65535
12284,C1-A1-1.tif:12284-04129,71.556,3274.459,2743,4093,0,65535
12285,C1-A1-1.tif:12285-04128,47.011,3110.327,2775,3516,0,65535
12286,C1-A1-1.tif:12286-04135,279.153,3377.994,3028,3852,0,65535
12287,C1-A1-1.tif:12287-04137,247.951,3097.111,2702,7065,0,65535
12288,C1-A1-1.tif:12288-04135,213.421,3080.168,2707,3476,0,65535
12289,C1-A1-1.tif:12289-04138,147.273,3001.277,2579,3406,0,65535
12290,C1-A1-1.tif:12290-04146,505.887,2987.095,2577,3366,0,65535
12291,C1-A1-1.tif:12291-04132,125.640,2296.507,2022,2619,0,65535
12292,C1-A1-1.tif:12292-04132,52.835,1566.071,1358,1762,0,65535
12293,C1-A1-1.tif:12293-04131,53.667,3125.860,2793,3597,0,65535
12294,C1-A1-1.tif:12294-04131,56.579,2297.140,1984,2573,0,65535
12295,C1-A1-1.tif:12295-04133,99.430,2535.322,2182,3321,0,65535
12296,C1-A1-1.tif:12296-04138,163.914,4629.977,3163,10870,0,65535
12297,C1-A1-1.tif:12297-04135,141.033,3071.156,2725,3425,0,65535
12298,C1-A1-1.tif:12298-04133,61.156,2799.728,2522,3026,0,65535
12299,C1-A1-1.tif:12299-04134,157.674,2896.652,2604,4233,0,65535
12300,C1-A1-1.tif:12300-04133,126.888,3013.243,2691,3257,0,65535
12301,C1-A1-1.tif:12301-04147,649.832,4545.439,2401,65535,0,65535
12302,C1-A1-1.tif:12302-04132,89.445,2945.423,2673,3218,0,65535
12303,C1-A1-1.tif:12303-04139,152.265,11185.571,2564,20119,0,65535
12304,C1-A1-1.tif:12304-04135,108.999,3162.382,2863,3670,0,65535
12305,C1-A1-1.tif:12305-04138,358.198,2198.670,1865,2564,0,65535
12306,C1-A1-1.tif:12306-04132,77.381,1682.376,1470,1923,0,65535
12307,C1-A1-1.tif:12307-04132,56.579,1848.691,1578,2000,0,65535
