 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
7490,C2-A1-1-1.tif:07490-03476,69.476,767.766,350,1486,0,65535
7491,C2-A1-1-1.tif:07491-03481,66.148,626.855,354,1482,0,65535
7492,C2-A1-1-1.tif:07492-03481,100.262,485.618,269,822,0,65535
7493,C2-A1-1-1.tif:07493-03477,66.564,610.212,350,1306,0,65535
7494,C2-A1-1-1.tif:07494-03490,445.563,830.500,350,1705,0,65535
7495,C2-A1-1-1.tif:07495-03478,49.507,449.672,351,586,0,65535
7496,C2-A1-1-1.tif:07496-03477,78.213,540.872,351,868,0,65535
7497,C2-A1-1-1.tif:07497-03477,45.347,484.193,350,825,0,65535
7498,C2-A1-1-1.tif:07498-03480,202.604,627.162,352,1271,0,65535
7499,C2-A1-1-1.tif:07499-03488,320.339,641.021,241,1409,0,65535
7500,C2-A1-1-1.tif:07500-03484,150.601,575.594,350,1123,0,65535
7501,C2-A1-1-1.tif:07501-03475,51.587,748.782,354,1280,0,65535
7502,C2-A1-1-1.tif:07502-03483,137.704,508.363,271,892,0,65535
7503,C2-A1-1-1.tif:07503-03475,41.603,557.190,352,779,0,65535
7504,C2-A1-1-1.tif:07504-03481,91.526,517.314,351,877,0,65535
7505,C2-A1-1-1.tif:07505-03492,249.615,661.103,351,1283,0,65535
7506,C2-A1-1-1.tif:07506-03490,192.204,611.697,351,1129,0,65535
7507,C2-A1-1-1.tif:07507-03478,66.980,777.211,352,1562,0,65535
7508,C2-A1-1-1.tif:07508-03477,116.487,647.025,353,1282,0,65535
7509,C2-A1-1-1.tif:07509-03477,48.259,456.517,351,669,0,65535
7510,C2-A1-1-1.tif:07510-03490,352.373,1097.191,356,3442,0,65535
7511,C2-A1-1-1.tif:07511-03479,105.670,713.264,357,1438,0,65535
7512,C2-A1-1-1.tif:07512-03477,71.140,630.292,350,1277,0,65535
7513,C2-A1-1-1.tif:07513-03481,81.541,544.036,350,1109,0,65535
7514,C2-A1-1-1.tif:07514-03480,109.831,684.625,364,1194,0,65535
7515,C2-A1-1-1.tif:07515-03479,55.331,582.541,287,1356,0,65535
7516,C2-A1-1-1.tif:07516-03486,193.868,716.612,312,1537,0,65535
7517,C2-A1-1-1.tif:07517-03483,147.689,723.718,353,1380,0,65535
7518,C2-A1-1-1.tif:07518-03486,208.013,781.578,321,1993,0,65535
7519,C2-A1-1-1.tif:07519-03499,994.717,1100.976,350,3737,0,65535
7520,C2-A1-1-1.tif:07520-03480,62.404,582.233,219,939,0,65535
7521,C2-A1-1-1.tif:07521-03488,247.951,665.154,352,1550,0,65535
7522,C2-A1-1-1.tif:07522-03511,1738.986,976.746,350,2713,0,65535
7523,C2-A1-1-1.tif:07523-03480,41.187,483.071,294,743,0,65535
7524,C2-A1-1-1.tif:07524-03486,112.743,518.827,352,925,0,65535
7525,C2-A1-1-1.tif:07525-03529,3205.475,1203.672,265,3500,0,65535
7526,C2-A1-1-1.tif:07526-03492,201.772,604.299,351,1310,0,65535
7527,C2-A1-1-1.tif:07527-03500,512.543,713.509,274,1788,0,65535
7528,C2-A1-1-1.tif:07528-03480,83.205,630.495,353,1213,0,65535
7529,C2-A1-1-1.tif:07529-03483,131.048,563.463,350,1141,0,65535
7530,C2-A1-1-1.tif:07530-03498,425.594,806.218,351,2115,0,65535
7531,C2-A1-1-1.tif:07531-03482,119.399,670.791,351,1425,0,65535
7532,C2-A1-1-1.tif:07532-03486,270.000,798.834,147,2299,0,65535
7533,C2-A1-1-1.tif:07533-03483,89.445,1018.079,353,2167,0,65535
7534,C2-A1-1-1.tif:07534-03482,68.228,551.537,353,966,0,65535
7535,C2-A1-1-1.tif:07535-03493,227.566,578.894,316,1098,0,65535
7536,C2-A1-1-1.tif:07536-03483,73.220,556.807,326,872,0,65535
7537,C2-A1-1-1.tif:07537-03486,98.598,577.025,296,1020,0,65535
7538,C2-A1-1-1.tif:07538-03492,219.661,801.021,298,1705,0,65535
7539,C2-A1-1-1.tif:07539-03484,105.254,677.542,352,1206,0,65535
7540,C2-A1-1-1.tif:07540-03483,116.903,600.658,350,1037,0,65535
7541,C2-A1-1-1.tif:07541-03488,151.017,651.967,204,1376,0,65535
7542,C2-A1-1-1.tif:07542-03483,42.019,450.208,312,684,0,65535
7543,C2-A1-1-1.tif:07543-03493,183.051,1063.693,352,2408,0,65535
7544,C2-A1-1-1.tif:07544-03485,111.911,844.476,350,1809,0,65535
7545,C2-A1-1-1.tif:07545-03484,95.686,534.483,347,1076,0,65535
7546,C2-A1-1-1.tif:07546-03484,132.296,618.481,350,1347,0,65535
7547,C2-A1-1-1.tif:07547-03483,53.667,521.698,352,862,0,65535
7548,C2-A1-1-1.tif:07548-03484,109.831,820.708,351,2566,0,65535
7549,C2-A1-1-1.tif:07549-03500,590.340,1377.245,330,4783,0,65535
7550,C2-A1-1-1.tif:07550-03487,101.510,536.475,199,943,0,65535
7551,C2-A1-1-1.tif:07551-03483,80.293,761.585,359,1633,0,65535
7552,C2-A1-1-1.tif:07552-03489,168.906,645.345,213,1441,0,65535
7553,C2-A1-1-1.tif:07553-03485,86.533,854.971,353,1898,0,65535
7554,C2-A1-1-1.tif:07554-03488,84.453,460.365,292,749,0,65535
7555,C2-A1-1-1.tif:07555-03489,96.518,489.569,294,825,0,65535
7556,C2-A1-1-1.tif:07556-03486,78.629,540.206,352,846,0,65535
7557,C2-A1-1-1.tif:07557-03489,88.613,573.117,354,962,0,65535
7558,C2-A1-1-1.tif:07558-03493,223.406,729.577,350,1483,0,65535
7559,C2-A1-1-1.tif:07559-03488,94.854,581.987,350,1019,0,65535
7560,C2-A1-1-1.tif:07560-03489,84.453,538.813,326,846,0,65535
7561,C2-A1-1-1.tif:07561-03484,52.419,570.786,338,946,0,65535
7562,C2-A1-1-1.tif:07562-03490,92.358,549.536,350,938,0,65535
7563,C2-A1-1-1.tif:07563-03491,143.945,1052.422,350,2073,0,65535
7564,C2-A1-1-1.tif:07564-03493,219.245,568.294,350,1011,0,65535
7565,C2-A1-1-1.tif:07565-03484,45.347,852.202,360,2063,0,65535
7566,C2-A1-1-1.tif:07566-03487,58.660,813.816,376,2147,0,65535
7567,C2-A1-1-1.tif:07567-03501,544.161,1054.073,352,2721,0,65535
7568,C2-A1-1-1.tif:07568-03491,105.254,862.545,351,1754,0,65535
7569,C2-A1-1-1.tif:07569-03486,93.190,625.366,350,1567,0,65535
7570,C2-A1-1-1.tif:07570-03486,48.259,531.078,323,795,0,65535
7571,C2-A1-1-1.tif:07571-03486,42.435,641.255,280,1235,0,65535
7572,C2-A1-1-1.tif:07572-03489,60.324,503.476,325,813,0,65535
7573,C2-A1-1-1.tif:07573-03493,181.387,648.562,353,1460,0,65535
7574,C2-A1-1-1.tif:07574-03494,165.578,1567.997,377,3168,0,65535
7575,C2-A1-1-1.tif:07575-03496,350.293,930.075,351,2038,0,65535
7576,C2-A1-1-1.tif:07576-03497,267.088,615.821,300,1174,0,65535
7577,C2-A1-1-1.tif:07577-03500,227.982,606.597,340,1184,0,65535
7578,C2-A1-1-1.tif:07578-03489,81.957,595.741,300,1026,0,65535
7579,C2-A1-1-1.tif:07579-03492,137.704,673.429,351,1189,0,65535
7580,C2-A1-1-1.tif:07580-03491,89.029,647.271,353,1446,0,65535
7581,C2-A1-1-1.tif:07581-03493,97.766,712.226,311,1699,0,65535
7582,C2-A1-1-1.tif:07582-03498,279.569,546.924,318,1133,0,65535
7583,C2-A1-1-1.tif:07583-03486,64.484,715.039,359,1267,0,65535
7584,C2-A1-1-1.tif:07584-03491,99.846,629.971,351,1241,0,65535
7585,C2-A1-1-1.tif:07585-03492,71.556,504.750,257,793,0,65535
7586,C2-A1-1-1.tif:07586-03490,74.053,610.399,353,1069,0,65535
7587,C2-A1-1-1.tif:07587-03491,113.575,733.736,193,1567,0,65535
7588,C2-A1-1-1.tif:07588-03489,49.923,660.683,350,1682,0,65535
7589,C2-A1-1-1.tif:07589-03523,1247.660,1113.586,260,5123,0,65535
7590,C2-A1-1-1.tif:07590-03495,176.811,738.835,349,1426,0,65535
7591,C2-A1-1-1.tif:07591-03496,205.933,908.057,350,2489,0,65535
7592,C2-A1-1-1.tif:07592-03491,120.231,839.093,351,1890,0,65535
7593,C2-A1-1-1.tif:07593-03492,49.507,456.933,264,711,0,65535
7594,C2-A1-1-1.tif:07594-03492,80.709,593.505,350,1106,0,65535
7595,C2-A1-1-1.tif:07595-03494,131.880,604.366,352,1102,0,65535
7596,C2-A1-1-1.tif:07596-03507,293.298,745.698,334,1543,0,65535
7597,C2-A1-1-1.tif:07597-03499,95.686,562.696,351,961,0,65535
7598,C2-A1-1-1.tif:07598-03488,52.835,521.425,256,908,0,65535
7599,C2-A1-1-1.tif:07599-03495,102.758,700.283,352,1315,0,65535
7600,C2-A1-1-1.tif:07600-03491,106.919,680.160,350,1318,0,65535
7601,C2-A1-1-1.tif:07601-03513,969.755,956.804,351,2214,0,65535
7602,C2-A1-1-1.tif:07602-03497,200.940,911.617,352,2462,0,65535
7603,C2-A1-1-1.tif:07603-03495,113.159,634.206,293,1383,0,65535
7604,C2-A1-1-1.tif:07604-03494,77.381,612.790,350,1210,0,65535
7605,C2-A1-1-1.tif:07605-03488,44.931,698.546,351,1417,0,65535
7606,C2-A1-1-1.tif:07606-03495,182.635,698.282,355,1360,0,65535
7607,C2-A1-1-1.tif:07607-03496,112.743,548.369,268,964,0,65535
7608,C2-A1-1-1.tif:07608-03500,183.883,545.706,117,1036,0,65535
7609,C2-A1-1-1.tif:07609-03493,106.502,690.098,350,1521,0,65535
7610,C2-A1-1-1.tif:07610-03490,90.694,588.376,350,959,0,65535
7611,C2-A1-1-1.tif:07611-03495,87.365,547.790,351,1091,0,65535
7612,C2-A1-1-1.tif:07612-03494,110.663,819.105,352,3477,0,65535
7613,C2-A1-1-1.tif:07613-03488,45.347,645.752,359,1008,0,65535
7614,C2-A1-1-1.tif:07614-03498,118.983,492.385,305,877,0,65535
7615,C2-A1-1-1.tif:07615-03496,99.014,501.462,305,913,0,65535
7616,C2-A1-1-1.tif:07616-03495,151.017,653.240,350,1164,0,65535
7617,C2-A1-1-1.tif:07617-03495,155.177,650.735,264,1054,0,65535
7618,C2-A1-1-1.tif:07618-03501,179.723,533.157,342,1029,0,65535
7619,C2-A1-1-1.tif:07619-03496,102.758,594.842,351,1135,0,65535
7620,C2-A1-1-1.tif:07620-03493,89.029,642.673,351,1415,0,65535
7621,C2-A1-1-1.tif:07621-03506,374.007,647.967,344,1539,0,65535
7622,C2-A1-1-1.tif:07622-03501,223.822,684.716,247,1371,0,65535
7623,C2-A1-1-1.tif:07623-03489,40.770,551.194,351,839,0,65535
7624,C2-A1-1-1.tif:07624-03493,72.804,593.766,353,1079,0,65535
7625,C2-A1-1-1.tif:07625-03500,168.906,517.670,352,897,0,65535
7626,C2-A1-1-1.tif:07626-03501,207.597,589.172,353,1058,0,65535
7627,C2-A1-1-1.tif:07627-03492,56.995,893.394,350,1539,0,65535
7628,C2-A1-1-1.tif:07628-03496,85.285,449.263,244,665,0,65535
7629,C2-A1-1-1.tif:07629-03497,81.957,544.716,304,902,0,65535
7630,C2-A1-1-1.tif:07630-03503,185.131,597.872,282,1375,0,65535
7631,C2-A1-1-1.tif:07631-03500,95.686,502.222,346,837,0,65535
7632,C2-A1-1-1.tif:07632-03492,46.179,688.811,356,1232,0,65535
7633,C2-A1-1-1.tif:07633-03500,222.158,1290.421,353,2608,0,65535
7634,C2-A1-1-1.tif:07634-03497,65.732,637.557,353,1319,0,65535
7635,C2-A1-1-1.tif:07635-03504,208.429,733.080,343,2194,0,65535
7636,C2-A1-1-1.tif:07636-03495,49.091,590.271,358,1090,0,65535
7637,C2-A1-1-1.tif:07637-03492,44.099,551.821,353,804,0,65535
7638,C2-A1-1-1.tif:07638-03506,210.925,512.071,350,859,0,65535
7639,C2-A1-1-1.tif:07639-03515,537.921,909.768,233,2360,0,65535
7640,C2-A1-1-1.tif:07640-03508,302.450,712.857,239,1621,0,65535
7641,C2-A1-1-1.tif:07641-03502,358.198,712.295,350,1412,0,65535
7642,C2-A1-1-1.tif:07642-03493,40.354,516.309,354,806,0,65535
7643,C2-A1-1-1.tif:07643-03496,120.231,625.810,352,1189,0,65535
7644,C2-A1-1-1.tif:07644-03500,332.820,792.635,351,1676,0,65535
7645,C2-A1-1-1.tif:07645-03495,81.125,606.538,322,962,0,65535
7646,C2-A1-1-1.tif:07646-03501,160.586,544.909,351,1042,0,65535
7647,C2-A1-1-1.tif:07647-03497,106.502,740.105,361,1389,0,65535
7648,C2-A1-1-1.tif:07648-03497,99.430,814.109,352,1598,0,65535
7649,C2-A1-1-1.tif:07649-03498,88.197,757.278,233,1505,0,65535
7650,C2-A1-1-1.tif:07650-03501,91.526,577.591,304,948,0,65535
7651,C2-A1-1-1.tif:07651-03498,81.125,559.667,350,914,0,65535
7652,C2-A1-1-1.tif:07652-03498,48.259,495.095,353,736,0,65535
7653,C2-A1-1-1.tif:07653-03506,358.614,653.385,350,1370,0,65535
7654,C2-A1-1-1.tif:07654-03497,40.354,542.866,357,866,0,65535
7655,C2-A1-1-1.tif:07655-03503,141.449,668.171,353,1260,0,65535
7656,C2-A1-1-1.tif:07656-03498,59.908,479.243,354,757,0,65535
7657,C2-A1-1-1.tif:07657-03504,188.875,696.540,350,2319,0,65535
7658,C2-A1-1-1.tif:07658-03497,76.549,532.859,352,1361,0,65535
7659,C2-A1-1-1.tif:07659-03498,51.587,680.226,363,1180,0,65535
7660,C2-A1-1-1.tif:07660-03505,239.631,714.201,350,1897,0,65535
7661,C2-A1-1-1.tif:07661-03511,175.563,709.384,350,1471,0,65535
7662,C2-A1-1-1.tif:07662-03505,324.084,905.786,350,3036,0,65535
7663,C2-A1-1-1.tif:07663-03506,284.145,1038.130,350,1925,0,65535
7664,C2-A1-1-1.tif:07664-03506,86.949,528.220,351,852,0,65535
7665,C2-A1-1-1.tif:07665-03500,82.373,625.540,351,1134,0,65535
7666,C2-A1-1-1.tif:07666-03514,332.820,753.592,300,1844,0,65535
7667,C2-A1-1-1.tif:07667-03506,145.609,525.400,350,904,0,65535
7668,C2-A1-1-1.tif:07668-03498,40.354,540.619,350,966,0,65535
7669,C2-A1-1-1.tif:07669-03498,67.396,704.827,352,1605,0,65535
7670,C2-A1-1-1.tif:07670-03497,47.427,1043.728,368,5168,0,65535
7671,C2-A1-1-1.tif:07671-03507,103.590,503.916,352,768,0,65535
7672,C2-A1-1-1.tif:07672-03502,96.102,470.074,351,781,0,65535
7673,C2-A1-1-1.tif:07673-03501,117.319,676.734,350,1189,0,65535
7674,C2-A1-1-1.tif:07674-03505,205.517,1015.692,351,2092,0,65535
7675,C2-A1-1-1.tif:07675-03510,365.686,846.852,244,2175,0,65535
7676,C2-A1-1-1.tif:07676-03502,53.251,588.922,355,916,0,65535
7677,C2-A1-1-1.tif:07677-03501,66.564,690.019,353,1304,0,65535
7678,C2-A1-1-1.tif:07678-03504,81.957,511.096,269,842,0,65535
7679,C2-A1-1-1.tif:07679-03504,161.002,783.013,354,2157,0,65535
7680,C2-A1-1-1.tif:07680-03500,40.770,537.622,351,902,0,65535
7681,C2-A1-1-1.tif:07681-03503,80.709,720.588,350,1990,0,65535
7682,C2-A1-1-1.tif:07682-03513,414.777,997.953,350,2301,0,65535
7683,C2-A1-1-1.tif:07683-03504,63.652,570.830,352,944,0,65535
7684,C2-A1-1-1.tif:07684-03504,94.854,517.110,255,884,0,65535
7685,C2-A1-1-1.tif:07685-03506,123.143,706.203,350,1607,0,65535
7686,C2-A1-1-1.tif:07686-03513,196.364,565.739,235,1093,0,65535
7687,C2-A1-1-1.tif:07687-03506,98.182,664.318,350,1376,0,65535
7688,C2-A1-1-1.tif:07688-03511,259.184,856.083,353,2058,0,65535
7689,C2-A1-1-1.tif:07689-03507,183.883,860.127,351,1978,0,65535
7690,C2-A1-1-1.tif:07690-03500,66.980,595.708,350,1097,0,65535
7691,C2-A1-1-1.tif:07691-03503,66.980,517.019,351,976,0,65535
7692,C2-A1-1-1.tif:07692-03507,138.952,744.859,273,1427,0,65535
7693,C2-A1-1-1.tif:07693-03512,220.909,793.966,351,1904,0,65535
7694,C2-A1-1-1.tif:07694-03506,66.148,536.711,320,1243,0,65535
7695,C2-A1-1-1.tif:07695-03506,105.670,560.142,354,986,0,65535
7696,C2-A1-1-1.tif:07696-03503,54.499,491.183,274,1160,0,65535
7697,C2-A1-1-1.tif:07697-03508,81.957,847.416,362,1715,0,65535
7698,C2-A1-1-1.tif:07698-03509,146.441,1169.440,351,2186,0,65535
7699,C2-A1-1-1.tif:07699-03503,60.740,599.527,351,930,0,65535
7700,C2-A1-1-1.tif:07700-03507,90.694,511.349,158,882,0,65535
7701,C2-A1-1-1.tif:07701-03516,210.925,694.750,350,1540,0,65535
7702,C2-A1-1-1.tif:07702-03527,922.328,1039.301,290,2593,0,65535
7703,C2-A1-1-1.tif:07703-03518,333.236,761.514,261,1543,0,65535
7704,C2-A1-1-1.tif:07704-03506,59.492,555.503,352,995,0,65535
7705,C2-A1-1-1.tif:07705-03513,232.974,914.039,354,2153,0,65535
7706,C2-A1-1-1.tif:07706-03504,45.347,516.606,315,758,0,65535
7707,C2-A1-1-1.tif:07707-03506,64.484,554.923,350,833,0,65535
7708,C2-A1-1-1.tif:07708-03510,93.190,638.665,350,1140,0,65535
7709,C2-A1-1-1.tif:07709-03511,189.708,757.344,351,1526,0,65535
7710,C2-A1-1-1.tif:07710-03509,145.609,691.351,351,1640,0,65535
7711,C2-A1-1-1.tif:07711-03515,279.985,795.887,350,1605,0,65535
7712,C2-A1-1-1.tif:07712-03517,260.848,773.254,353,1638,0,65535
7713,C2-A1-1-1.tif:07713-03519,249.199,611.240,350,1364,0,65535
7714,C2-A1-1-1.tif:07714-03526,1080.834,777.154,344,2312,0,65535
7715,C2-A1-1-1.tif:07715-03512,183.051,662.757,339,1416,0,65535
7716,C2-A1-1-1.tif:07716-03509,128.552,756.828,257,1887,0,65535
7717,C2-A1-1-1.tif:07717-03505,53.667,523.527,350,865,0,65535
